INFO:__main__:Finished run: score=0.9004463255405426, r2=[0.8764800429344177, 0.9244126081466675]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [71], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9187427759170532, r2=[0.8983988165855408, 0.9390867352485657]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [19], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8779241740703583, r2=[0.8359974026679993, 0.9198509454727173]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [181], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9155840277671814, r2=[0.9004693627357483, 0.9306986927986145]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [8], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8792984187602997, r2=[0.8366532921791077, 0.9219435453414917]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [175], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.839345782995224, r2=[0.7682347297668457, 0.9104568362236023]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [494], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9051947295665741, r2=[0.8780533075332642, 0.932336151599884]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [117], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8311732709407806, r2=[0.7591035962104797, 0.9032429456710815]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [433], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9120187163352966, r2=[0.8915215730667114, 0.9325158596038818]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [29], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
