score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,125,8,NA,NA,"testing optuna for PS xgb model",86,15,
0.5058248043060303,0.2441847324371338,0.7674648761749268,NA,NA,NA,50,4,NA,NA,"testing optuna for PS xgb model",439,19,
NA,NA,NA,NA,NA,NA,80,5,NA,NA,"testing optuna for PS xgb model",502,2,
NA,NA,NA,NA,NA,NA,200,9,NA,NA,"testing optuna for PS xgb model",180,4,
NA,NA,NA,NA,NA,NA,105,4,NA,NA,"testing optuna for PS xgb model",175,41,
NA,NA,NA,NA,NA,NA,90,3,NA,NA,"testing optuna for PS xgb model",638,58,
NA,NA,NA,NA,NA,NA,45,10,NA,NA,"testing optuna for PS xgb model",928,1,
NA,NA,NA,NA,NA,NA,200,5,NA,NA,"testing optuna for PS xgb model",219,1,
NA,NA,NA,NA,NA,NA,165,7,NA,NA,"testing optuna for PS xgb model",283,18,
NA,NA,NA,NA,NA,NA,25,3,NA,NA,"testing optuna for PS xgb model",24,8,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",492,4,
NA,NA,NA,NA,NA,NA,75,5,NA,NA,"testing optuna for PS xgb model",478,3,
NA,NA,NA,NA,NA,NA,125,6,NA,NA,"testing optuna for PS xgb model",943,24,
NA,NA,NA,NA,NA,NA,45,4,NA,NA,"testing optuna for PS xgb model",1293,2,
NA,NA,NA,NA,NA,NA,70,4,NA,NA,"testing optuna for PS xgb model",307,9,
NA,NA,NA,NA,NA,NA,130,7,NA,NA,"testing optuna for PS xgb model",96,2,
NA,NA,NA,NA,NA,NA,95,3,NA,NA,"testing optuna for PS xgb model",397,96,
NA,NA,NA,NA,NA,NA,40,5,NA,NA,"testing optuna for PS xgb model",684,10,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",113,28,
NA,NA,NA,NA,NA,NA,80,4,NA,NA,"testing optuna for PS xgb model",315,5,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",537,2,
NA,NA,NA,NA,NA,NA,30,5,NA,NA,"testing optuna for PS xgb model",817,5,
NA,NA,NA,NA,NA,NA,55,4,NA,NA,"testing optuna for PS xgb model",412,3,
NA,NA,NA,NA,NA,NA,30,6,NA,NA,"testing optuna for PS xgb model",248,13,
NA,NA,NA,NA,NA,NA,65,7,NA,NA,"testing optuna for PS xgb model",1149,6,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",564,3,
NA,NA,NA,NA,NA,NA,50,3,NA,NA,"testing optuna for PS xgb model",375,2,
NA,NA,NA,NA,NA,NA,25,4,NA,NA,"testing optuna for PS xgb model",32,36,
NA,NA,NA,NA,NA,NA,105,6,NA,NA,"testing optuna for PS xgb model",146,13,
NA,NA,NA,NA,NA,NA,155,8,NA,NA,"testing optuna for PS xgb model",763,18,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",557,3,
NA,NA,NA,NA,NA,NA,35,5,NA,NA,"testing optuna for PS xgb model",469,3,
NA,NA,NA,NA,NA,NA,20,4,NA,NA,"testing optuna for PS xgb model",190,4,
NA,NA,NA,NA,NA,NA,110,8,NA,NA,"testing optuna for PS xgb model",651,7,
NA,NA,NA,NA,NA,NA,85,4,NA,NA,"testing optuna for PS xgb model",350,4,
NA,NA,NA,NA,NA,NA,55,5,NA,NA,"testing optuna for PS xgb model",1004,56,
NA,NA,NA,NA,NA,NA,40,10,NA,NA,"testing optuna for PS xgb model",66,4,
NA,NA,NA,NA,NA,NA,20,9,NA,NA,"testing optuna for PS xgb model",144,1,
NA,NA,NA,NA,NA,NA,95,3,NA,NA,"testing optuna for PS xgb model",235,6,
NA,NA,NA,NA,NA,NA,70,6,NA,NA,"testing optuna for PS xgb model",582,2,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",486,3,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",612,3,
NA,NA,NA,NA,NA,NA,35,6,NA,NA,"testing optuna for PS xgb model",424,1,
NA,NA,NA,NA,NA,NA,20,5,NA,NA,"testing optuna for PS xgb model",798,4,
NA,NA,NA,NA,NA,NA,185,4,NA,NA,"testing optuna for PS xgb model",272,2,
NA,NA,NA,NA,NA,NA,45,3,NA,NA,"testing optuna for PS xgb model",1098,11,
NA,NA,NA,NA,NA,NA,25,6,NA,NA,"testing optuna for PS xgb model",546,8,
NA,NA,NA,NA,NA,NA,55,7,NA,NA,"testing optuna for PS xgb model",195,5,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",1346,17,
NA,NA,NA,NA,NA,NA,65,4,NA,NA,"testing optuna for PS xgb model",1277,25,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",706,17,
NA,NA,NA,NA,NA,NA,20,5,NA,NA,"testing optuna for PS xgb model",897,15,
NA,NA,NA,NA,NA,NA,30,5,NA,NA,"testing optuna for PS xgb model",782,20,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",697,31,
NA,NA,NA,NA,NA,NA,40,6,NA,NA,"testing optuna for PS xgb model",1357,53,
NA,NA,NA,NA,NA,NA,115,5,NA,NA,"testing optuna for PS xgb model",336,20,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",467,45,
NA,NA,NA,NA,NA,NA,30,6,NA,NA,"testing optuna for PS xgb model",936,15,
NA,NA,NA,NA,NA,NA,80,5,NA,NA,"testing optuna for PS xgb model",1136,78,
NA,NA,NA,NA,NA,NA,45,3,NA,NA,"testing optuna for PS xgb model",680,11,
NA,NA,NA,NA,NA,NA,15,5,NA,NA,"testing optuna for PS xgb model",524,31,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",415,6,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",408,8,
NA,NA,NA,NA,NA,NA,25,4,NA,NA,"testing optuna for PS xgb model",391,9,
NA,NA,NA,NA,NA,NA,35,4,NA,NA,"testing optuna for PS xgb model",294,22,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",257,16,
